TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
4/5/2024,28,34,30.3,70,0,6.2,6,300,1,C 
5/5/2024,27.4,34.6,30.8,71,0,5,6,360,1,C 
6/5/2024,27,33.4,30.5,68,,5.8,3,300,0,C 
7/5/2024,28,35,31,68,0,3.7,2,50,1,C 
8/5/2024,28,34.2,30.5,71,,6.5,3,310,1,C 
9/5/2024,27,35.2,30.6,73,,4.2,3,120,1,C 
10/5/2024,27.8,34.6,30.9,73,,6,3,140,1,C 
11/5/2024,28,36.6,31.1,71,,7,5,360,2,C 
12/5/2024,28,35,31,70,,5.5,4,140,2,C 
13-05-2024,28,34.8,30.9,72,0,5.7,4,360,1,C 
14-05-2024,28,32.4,28.5,84,0,6,4,360,1,C 
15-05-2024,27,34,30.7,71,28.5,0,4,360,1,C 
16-05-2024,,34.2,30.4,73,,4.5,5,360,1,C 
17-05-2024,,34.6,30.4,70,,5.5,3,70,1,C 
18-05-2024,27.4,34.8,30.6,69,,4.5,4,350,1,C 
19-05-2024,27,33.2,30.3,70,,4.5,4,340,1,C 
20-05-2024,27.4,34.4,30.6,68,,6.5,2,110,1,C 
21-05-2024,27.4,33,30.5,70,0,3.4,6,310,1,C 
22-05-2024,28,33.8,30.6,72,0,5.2,5,360,2,C 
23-05-2024,28,32,28.9,81,,3.2,5,360,1,C 
24-05-2024,26,33.4,29.3,78,8888,0,3,360,1,C 
25-05-2024,26.6,33,27.2,86,3.5,4,3,110,1,C 
26-05-2024,26.4,33,29.5,77,2.1,0,4,350,1,C 
27-05-2024,26.8,35.6,31,70,,0.4,4,350,1,C 
28-05-2024,27,34,30.7,74,,6,9,360,2,C 
29-05-2024,28,34.2,30.8,73,0,6.4,3,360,1,C 
30-05-2024,28,33.4,30.6,74,0,4.4,2,130,1,C 
31-05-2024,28,34.6,30.8,74,,5.2,4,340,1,C 
1/6/2024,26.6,33,29.7,76,,2.8,3,130,1,C 
2/6/2024,,33.6,29.7,78,,1,3,350,0,C 
