TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
12/9/2025,24,30.9,25.2,91,0.9,8,5,140,1,C
13-09-2025,23.7,33.1,27.6,80,30.8,2.2,3,120,1,C
14-09-2025,23.4,32,27,85,8888,7.4,4,190,1,C
15-09-2025,24,32.1,25.4,91,1,6.2,3,120,1,C
16-09-2025,24,31.7,26.6,85,63.9,1.5,3,190,1,S
17-09-2025,22.6,28.8,25.5,87,33.7,4.4,3,200,1,C
18-09-2025,23,32.4,27.1,82,3.6,0.5,2,70,1,E
19-09-2025,23.7,34.1,28.6,79,8888,2.5,3,300,2,E
20-09-2025,23.6,31.5,27.1,83,30.4,7.4,2,260,1,C
21-09-2025,24.6,33.8,28.4,80,4.5,3.4,3,160,1,C
22-09-2025,22.1,33.1,27.2,82,0,7.1,4,190,1,S
23-09-2025,21.4,34.6,27.7,78,0,8,3,160,1,S
24-09-2025,23.2,33.4,27.5,82,0,8,3,130,1,C
25-09-2025,24.9,34.2,28.7,79,0.8,4.8,3,150,1,SE
26-09-2025,25,33.3,26.8,83,1,6.7,4,240,1,C
27-09-2025,23.8,33.8,27.5,83,7.2,2.3,4,100,1,SE
28-09-2025,24.6,34.8,27.6,83,5,4.9,3,200,1,SE
29-09-2025,24.4,30.9,25.6,90,5.8,6.9,5,240,1,W
30-09-2025,23.6,32.1,27.2,82,16.1,1.5,3,300,1,C
1/10/2025,23.4,34.4,28.8,77,8888,4,3,280,1,E
2/10/2025,24.1,34.1,28.5,76,14.9,8,2,180,1,SE
3/10/2025,23.7,33.8,28.3,76,0,8,4,180,2,S
4/10/2025,24.3,29.5,24.2,93,0,8,3,150,1,C
5/10/2025,22,32.8,26.5,82,53.3,0,3,160,1,S
6/10/2025,22.7,31,26.4,82,6.6,7.4,3,90,2,E
7/10/2025,21.8,33.6,27.8,76,6.5,0.9,2,130,1,C
8/10/2025,22.6,33.6,28.3,76,0,7.4,4,160,1,S
9/10/2025,22.3,33.4,27.1,81,0,7.8,2,60,0,C
10/10/2025,23.1,33.3,27.7,84,0.8,3.7,4,140,1,SE
