TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
4/5/2024,28.9,34.2,30.7,74,,8,4,90,2,C 
5/5/2024,28.2,33.4,30.8,76,0,6.9,4,20,2,C 
6/5/2024,28,33.6,30.8,75,,7.4,5,30,1,C 
7/5/2024,28.4,34.4,31,74,,3.9,5,30,2,C 
8/5/2024,28.6,33.8,30.6,75,0,8.3,6,10,2,C 
9/5/2024,28.2,33.4,30.7,77,0,7.4,5,20,3,E 
10/5/2024,27.8,34.4,31.1,78,0,8.8,5,60,3,E 
11/5/2024,28,34.4,31.2,77,,8.9,5,60,3,E 
12/5/2024,28.8,35.6,31.3,75,0,0,5,70,3,E 
13-05-2024,28.6,34,31.2,75,,5.8,6,30,3,NE
14-05-2024,28.6,32.6,29.2,83,,8.5,6,30,1,C 
15-05-2024,27.6,34,30.9,75,,0,7,40,3,E 
16-05-2024,28,33.2,30.6,76,0,8,5,50,2,NE
17-05-2024,28.4,34.2,30.7,75,0,5.5,5,30,2,C 
18-05-2024,28.2,34.4,30.9,73,0,7.5,5,40,2,NE
19-05-2024,28.2,33.4,30.5,73,0,8.6,4,20,2,E 
20-05-2024,27.6,35.4,30.9,71,0,9.1,5,70,2,E 
21-05-2024,27.6,33.4,30.9,73,0,5.9,4,30,2,NE
22-05-2024,28.6,33.7,30.8,74,,7.5,4,20,3,E 
23-05-2024,28.8,32,29.1,83,0,3.9,5,230,2,E 
24-05-2024,27.8,32.8,29.4,80,8888,0.5,6,80,3,E 
25-05-2024,26.5,28,27.1,90,5.5,5.3,4,100,1,C 
26-05-2024,26.2,32.6,29.7,81,3.5,0,5,30,2,C 
27-05-2024,27.2,34.4,31,76,0,3,5,100,2,NE
28-05-2024,28.2,34.1,30.8,78,0,8.2,5,30,3,E 
29-05-2024,28.3,34.4,31.1,77,0,8.3,5,40,2,NE
30-05-2024,28.8,33.8,30.8,78,0,8.6,6,30,2,NE
31-05-2024,28.6,33.8,31,76,,8.1,4,20,2,C 
1/6/2024,28.8,32.2,29.9,79,0,8,4,130,1,C 
2/6/2024,27.2,33.4,29.7,81,0,1.4,5,20,1,C 
3/6/2024,25.3,30.6,28.7,87,28.2,1.8,3,290,1,C 
4/6/2024,26.8,32.8,30,80,0.2,0.6,4,20,1,C 
5/6/2024,27.8,32.8,30.1,78,0,5.2,4,20,2,N 
6/6/2024,27.4,34.2,30.5,76,0,7.9,4,30,2,NE
7/6/2024,28,33.2,30.1,77,0,8.9,4,40,2,NE
8/6/2024,27.5,33.6,30.5,76,0,9,5,50,3,SE
9/6/2024,27.8,33.2,30.2,76,0,9,4,40,2,C 
10/6/2024,27.8,33.2,30.6,76,0,7.3,5,10,3,E 
11/6/2024,27.8,32.6,28.8,85,0,8.5,4,40,2,C 
12/6/2024,25.8,31.8,29.1,81,22.4,3.3,5,40,2,C 
13-06-2024,27,32.4,29.3,80,0,7,5,70,3,SE
14-06-2024,27.2,33,30,77,0,3.3,4,60,2,NE
15-06-2024,27.4,32.6,28.8,84,8888,9,4,350,2,C 
16-06-2024,24,30.8,28.5,85,82,4.9,4,350,1,C 
17-06-2024,25,32.6,29.9,76,0,4.9,4,60,2,C 
18-06-2024,27.4,31.6,29.4,79,0,8.5,4,70,1,C 
19-06-2024,27.2,34.6,29.8,74,0,1.9,6,100,4,E 
20-06-2024,26,34.4,30,70,0,8.6,5,80,3,SE
21-06-2024,26.4,33.7,30.2,74,0,8.8,5,40,2,E 
22-06-2024,27,32.4,29.3,76,0,8.1,6,40,2,NE
23-06-2024,26,34.6,30.4,68,0,6.6,5,120,2,C 
24-06-2024,26.2,33,29.8,77,,7.9,5,60,2,C 
25-06-2024,27.6,31.4,27.6,84,0,5.2,9,100,1,C 
26-06-2024,25.8,33.2,29.8,79,8,1.2,6,90,3,E 
27-06-2024,26.1,33.4,30.2,78,0,9,5,100,3,SE
28-06-2024,27.8,32.8,30,80,0,8.8,5,120,2,NE
29-06-2024,,,,87,0,8,3,150,1,C 
30-06-2024,25.5,31.8,29.5,79,8,0.8,4,40,1,C 
1/7/2024,25.6,32.6,29.3,80,0,8.7,5,10,1,C 
2/7/2024,27,31,28.9,83,0,5.3,3,50,1,C 
3/7/2024,27,32.6,28.9,80,0,1.5,6,40,1,C 
4/7/2024,26.9,32,27.3,85,0,7.2,4,340,1,C 
5/7/2024,25,31.8,27.1,86,36.5,2.1,5,130,3,SE
6/7/2024,24.6,28.4,25,92,25,3.7,4,130,1,C 
7/7/2024,23.4,30.6,27.6,85,40.9,0.2,5,50,1,C 
8/7/2024,,33,,,,,5,30,2,C
9/7/2024,25.4,31.6,28.4,83,8888,8,5,100,2,E
10/7/2024,26,33,29.1,77,0,8,5,100,2,C
11/7/2024,26.8,32.6,28.9,80,0,5.8,3,170,1,C
12/7/2024,26.8,33.4,29.3,73,0,7.5,4,50,2,C
13-07-2024,25.8,32.2,28.4,72,0,8,5,100,1,C
14-07-2024,25.6,31.9,28.2,71,0,7.4,5,70,2,E
15-07-2024,24.8,32.4,27.8,71,0,8,4,50,1,C
16-07-2024,25,33.6,28.6,68,0,8,5,70,2,C
17-07-2024,25.8,33.6,28.7,76,0,8,6,40,3,SE
18-07-2024,26.3,33.2,29.4,73,0,8,5,60,3,SE
19-07-2024,27,33.2,29.4,72,0,7,5,130,2,C
20-07-2024,25.6,33.4,28.4,74,0,8,5,40,2,C
21-07-2024,25.8,33.6,29,75,0,8,5,40,1,C
22-07-2024,26.8,32,29,77,0,8,3,140,1,C
23-07-2024,26.6,32.2,28.8,73,0,7.1,4,350,2,C
24-07-2024,26.6,31.8,28.9,77,0,8,6,30,2,NE
25-07-2024,26.8,32,28.7,75,0,6,4,40,1,C
26-07-2024,26.8,33.2,29.5,75,0,7.4,4,40,2,NE
27-07-2024,26.6,33.4,29.5,71,0,7.5,5,140,2,C
28-07-2024,26.6,32.6,29.2,77,0,8,4,40,2,SE
29-07-2024,26.4,33.4,29.1,72,0,6.4,6,70,2,E
30-07-2024,26.4,33.4,29.3,74,0,8,4,50,1,C
31-07-2024,26.8,33.2,29.4,77,0,8,5,40,2,C
1/8/2024,27,32.6,29.5,76,0,8,5,330,1,C
2/8/2024,27.2,32,29,80,0,7.8,4,190,1,C
3/8/2024,26,34,29.2,78,8888,6,5,20,1,C
4/8/2024,26.6,33,29.4,78,0,8,5,100,2,C
5/8/2024,26.6,31.6,28.8,77,1.5,8,5,250,2,SE
6/8/2024,26.6,34.2,29.3,74,0,5.4,5,40,2,E
7/8/2024,26.4,32.6,29.2,75,0,8,4,60,2,NE
8/8/2024,27.2,33.8,29.5,75,0,5.5,4,100,2,E
9/8/2024,26.4,34.2,29.5,76,0,4,6,100,2,E
10/8/2024,26.6,33.2,29.6,77,0,8,5,40,2,NE
11/8/2024,27.6,32.4,29.8,72,8888,8,5,100,2,E
12/8/2024,27,33,29.1,68,0,7.7,7,80,2,E
13-08-2024,23.8,34.2,29,71,0,7.3,5,90,2,C
14-08-2024,26,34.6,29.8,72,0,8,5,30,2,SE
15-08-2024,27,33.5,29.2,76,0,8,4,340,1,C
16-08-2024,27,33.8,29.4,73,0,8,3,40,1,C
17-08-2024,27.4,32.6,29.3,73,0,6,6,120,2,C
18-08-2024,27.1,33,29.4,77,0,6.9,6,40,2,NE
19-08-2024,27,32.8,29.1,76,0,8,5,40,2,C
20-08-2024,26.4,32.6,29,77,0,8,5,40,2,SE
21-08-2024,26.8,32.8,28.9,77,0,8,5,40,3,E
22-08-2024,26.8,33.2,29.1,76,0,8,5,40,3,SE
23-08-2024,27,31.8,29,79,0,8,4,40,2,C
24-08-2024,26.5,32.4,28.7,77,0,7.9,6,10,2,C
25-08-2024,27,32.4,28.9,71,0,7.2,6,40,2,SE
26-08-2024,27,32.8,29.3,75,0,8,4,220,1,C
27-08-2024,27.4,34.2,29.6,76,0,8,4,50,2,SE
28-08-2024,27,32.6,29.5,68,0,7.2,4,40,2,C
29-08-2024,27.3,34,30.4,71,0,7.3,5,30,1,C
30-08-2024,26.8,33,29.3,74,0,7.7,5,40,2,C
31-08-2024,26.8,33,28.9,74,0,4.8,4,50,1,C
1/9/2024,26,32.4,28.9,77,0,8,5,40,2,C
2/9/2024,27,33.2,30,78,0,8,4,50,2,C
3/9/2024,27.8,32.6,29.6,77,0,8,15,4,2,C
4/9/2024,27,35.1,30,73,0,6.1,6,60,2,E
5/9/2024,27.6,33,29.9,70,0,8,4,40,2,C
6/9/2024,28.2,34.2,30.5,73,0,8,5,40,3,E
7/9/2024,27.4,35.4,30.8,71,0,8,6,80,3,E
8/9/2024,27.8,34.4,30.4,72,0,8,6,100,3,E
9/9/2024,28,32.9,29.1,78,0,8,5,350,2,C
10/9/2024,27,31.6,28.3,82,8888,8,4,50,2,S
11/9/2024,26.8,34.2,29.6,71,0,2.5,5,110,2,C
12/9/2024,27,32.6,29.6,77,0,4.3,6,30,2,C
13-09-2024,24.3,31.8,27.9,84,8.1,5.9,6,340,2,C
14-09-2024,25.4,33,29.1,69,0,7.7,5,200,2,C
15-09-2024,26.6,33.4,29.1,74,0,7.9,4,50,1,C
16-09-2024,26.5,33,29.2,72,0,8,5,100,2,S
17-09-2024,27,32.6,29.4,70,0,8,5,50,2,C
18-09-2024,26.2,32.5,28.7,71,0,8,4,60,2,SE
19-09-2024,26,32.8,28.9,71,0,8,4,90,2,C
20-09-2024,26.8,32.5,29.2,75,0,8,5,50,2,E
21-09-2024,27.4,32.8,29.5,77,0,8,6,200,2,S
22-09-2024,27.6,32.6,29.7,80,0,8,4,40,2,NE
23-09-2024,28,33.8,30.3,78,0,6.2,5,60,3,E
24-09-2024,28.4,32,28.6,86,0,6,5,60,1,C
25-09-2024,27.2,33,27.6,83,8888,2.3,5,50,2,C
26-09-2024,22.8,32.5,27.6,84,64.7,7.6,5,40,2,C
27-09-2024,25.4,33,28.9,81,5,6.4,5,50,2,C
28-09-2024,26,34.4,30.7,76,0,8,6,100,2,C
29-09-2024,27.8,35.2,30.4,74,0,6.9,6,80,2,NE
30-09-2024,27.8,33.2,30.1,74,0,7.4,6,100,2,C
1/10/2024,25.8,33.4,30.1,76,0,8,4,80,1,C
2/10/2024,28,33.9,30.7,74,0,8,5,100,2,C
3/10/2024,28.8,34,30.2,80,0.8,8,5,70,3,E
4/10/2024,28,34.9,30.5,71,0,5.5,6,100,2,C
5/10/2024,28.2,33.6,30.4,76,0,8,5,40,2,C
6/10/2024,27.6,33.4,30,77,0,8,6,50,2,C
7/10/2024,27.8,36.8,31.2,70,0,8,7,90,2,E
8/10/2024,28.2,34,30.6,73,0,8,6,90,3,E
9/10/2024,28.5,33.7,30,76,0,6.4,5,40,2,C
10/10/2024,28.5,33.8,30.8,76,0,8,4,40,2,SE
11/10/2024,26.4,34.2,30.7,74,0,6.5,7,60,3,E
12/10/2024,28.6,33.9,30.4,78,0,8,7,70,2,NE
13-10-2024,28.2,32,29.8,76,0,4.1,5,100,1,C
14-10-2024,27.3,33.2,29.9,76,0,0.8,6,220,2,W
15-10-2024,27.2,33.2,29,77,0,7,5,60,1,C
16-10-2024,27.4,33.8,29.8,75,1,3,4,60,2,S
17-10-2024,26.6,34.1,29.5,64,0.6,8,4,260,2,C
18-10-2024,26.6,33,29.6,70,0,8,5,10,1,C
19-10-2024,27.3,33.3,30,76,0,8,4,40,2,NE
20-10-2024,27,35.2,30.3,72,0,8,6,220,2,C
21-10-2024,27.4,33.8,30,71,0,8,4,120,2,SE
22-10-2024,27.6,33.8,30.1,73,0,8,5,50,2,C
23-10-2024,28.4,33.7,30.9,74,0,8,4,40,2,C
24-10-2024,26,32.9,30.1,73,23.2,8,5,110,2,E
25-10-2024,24.6,32.8,28.4,83,67.7,8,4,100,2,C
26-10-2024,25.4,33.4,29.7,73,1,7.6,6,30,2,C
27-10-2024,27,33.8,30.2,74,0,8,4,80,2,S
28-10-2024,27.2,33,30.1,71,0,8,4,170,1,C
29-10-2024,28.2,34,30.7,72,0,5.2,4,60,1,C
30-10-2024,28,34.8,30.7,72,0,7.3,4,50,2,C
31-10-2024,28.2,34.2,30.6,75,0,6.8,5,20,1,C
1/11/2024,27.5,34.2,30.2,73,0,6.6,5,110,2,C
2/11/2024,25.6,33.6,29.5,76,0,4.4,6,40,1,C
3/11/2024,27,32.4,28.8,77,0.3,5.9,4,100,1,C
4/11/2024,25.8,30.6,28.1,81,3.4,5.4,3,30,1,C
5/11/2024,26.9,32.8,28.9,79,8888,1.2,6,40,2,NE
6/11/2024,26.6,33.2,29.5,75,2.8,7.5,5,70,2,NE
7/11/2024,27,33.5,30,77,0,6.4,4,200,1,C
8/11/2024,27,33.8,30.3,72,0,5.4,4,210,2,C
9/11/2024,28,33.8,30,76,0,8,6,100,2,C
10/11/2024,27.6,33.8,29.7,76,0,7.1,7,30,2,C
11/11/2024,27.8,33,28.9,80,8888,6.6,4,160,1,C
12/11/2024,26,32.6,28.8,80,2.5,2.9,4,70,2,C
13-11-2024,27.2,33.2,29.9,76,0,4.8,6,20,3,E
14-11-2024,28,33.8,30.4,77,0.1,6.6,5,20,2,C
15-11-2024,28.2,33.4,30.3,74,0,5.5,5,30,2,C
16-11-2024,28.2,32.8,28.6,84,0,5,3,260,1,C
17-11-2024,25.8,33,29.5,82,43.6,3,4,40,2,NE
18-11-2024,27,32.4,29.4,82,0,8,5,20,2,C
19-11-2024,27,34.4,29.7,76,0,6.9,4,250,2,W
20-11-2024,27,33.4,29.5,76,8888,7.4,6,300,2,C
21-11-2024,27.6,33.6,30,78,8888,7.3,5,280,2,W
22-11-2024,26.8,33.8,29.7,74,0,7,5,260,2,C
23-11-2024,27,33.6,29.4,77,0,5.8,5,300,3,W
24-11-2024,27.1,33.9,29.3,76,0,5.6,5,250,2,W
25-11-2024,27.6,33.6,29.9,75,0,3.1,6,260,2,SW
26-11-2024,27.8,33.2,29.4,79,0,3.6,4,300,1,C
27-11-2024,26.2,32.6,28.9,82,0,5.5,6,330,2,C
28-11-2024,26,34.2,30.1,71,6,3.8,6,260,3,W
